id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,profitability,risk_flag,income_to_loan_ratio,year_wise_default_rate_indicator
5146827,2013,01-05-2013,25-01-4835,10,OWN,2,Low,38000,1,2650, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,13.11,B,2,11.78,2707.24,2650,0,89.43,leinster,57.24,1,14.3396226415094340,0.14
35833928,2014,01-11-2014,20-12-4971,2,MORTGAGE,3,Low,40000,1,11000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,8.67,B,2,23.91,4520.26,3647.86,0,348.12,cannught,-6479.74,1,3.6363636363636364,0.08
3292231,2013,01-02-2013,19-10-4670,10,MORTGAGE,3,Low,70000,1,14000, 36 months,1,INDIVIDUAL,1,OTHER,4,High,2,GOOD LOAN,0,21,E,5,27.58,18314.27303,14000,0,527.46,Northern-Irl,4314.27303,1,5.0000000000000000,0.14
4297028,2013,01-04-2013,20-10-4670,10,MORTGAGE,3,Medium,140000,2,2300, 36 months,1,INDIVIDUAL,1,MAJOR_PURCHASE,8,Low,1,GOOD LOAN,0,10.16,B,2,12.17,2453.07,2079.28,0,74.39,munster,153.07,1,60.8695652173913043,0.14
7341547,2013,01-10-2013,20-10-4670,3,RENT,1,Medium,152000,2,35000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,BAD LOAN,1,22.4,E,5,34.4,25387.01,9878.39,0,974.64,Northern-Irl,-9612.99,0,4.3428571428571429,0.14
32048421,2014,01-10-2014,20-12-4971,10,MORTGAGE,3,Low,58000,1,20875, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,19.52,E,5,28.57,7642.36,3239.82,0,547.5,Northern-Irl,-13232.64,1,2.7784431137724551,0.08
9047598,2013,01-11-2013,17-03-4917,4,MORTGAGE,3,Low,45000,1,19600, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,BAD LOAN,1,15.61,C,3,25.79,4723.41,2307.02,0,472.59,cannught,-14876.59,0,2.2959183673469388,0.14
8014648,2013,01-11-2013,20-12-4971,10,MORTGAGE,3,Medium,120000,2,35000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,22.4,E,5,25.85,24365.22,10117.87,0,974.64,munster,-10634.78,1,3.4285714285714286,0.14
1589503,2012,01-10-2012,07-12-4752,10,MORTGAGE,3,Medium,102000,2,25000, 60 months,2,INDIVIDUAL,1,CREDIT_CARD,1,High,2,GOOD LOAN,0,23.83,F,6,17.82,27623.25747,25000,0,716.74,cannught,2623.25747,1,4.0800000000000000,0.16
6884970,2013,01-09-2013,20-10-4670,10,MORTGAGE,3,Low,82800,1,18000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,7.62,A,1,15.1,15696.58,13631.31,0,560.91,ulster,-2303.42,1,4.6000000000000000,0.14
29193565,2014,01-10-2014,20-10-4670,4,RENT,1,Low,100000,1,12000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,20.99,E,5,28.03,4868.7,1947.66,0,324.58,Northern-Irl,-7131.3,1,8.3333333333333333,0.08
26309510,2014,01-09-2014,23-07-4725,1,RENT,1,Low,45000,1,10000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,BAD LOAN,1,14.49,C,3,15.39,3160.7,813.57,1649.26,235.24,leinster,-6839.3,0,4.5000000000000000,0.08
33310558,2014,01-10-2014,20-12-4971,10,MORTGAGE,3,Low,67000,1,8000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,7.69,A,1,27.83,3490.28,2894.61,0,249.55,leinster,-4509.72,1,8.3750000000000000,0.08
